paperID,title using pdftitle,title using pypdf2
1,"Public yet private: the status, durability and visibility of handover sheets
","Public Yet Private: The Status, Durability and Visibility of Handover Sheets"
2,"Panel Session: Past Visions of Hypertext and Their Inﬂuence on Us Today
",Past visions of hypertext and their influence on us today
3,"Ajax-based Report Pages as Incrementally Rendered Views
",Ajax-based report pages as incrementally rendered views
4,,May All Your Wishes Come True: A Study of Wishes and How to Recognize Them
5,"Packet Scheduling for Deep Packet Inspection on Multi-Core Architectures
",Packet scheduling for deep packet inspection on multi-core architectures
6,"Conﬂict Exceptions: Simplifying Concurrent Language Semantics with Precise Hardware Exceptions for Data-Races
",Conflict exceptions: simplifying concurrent language semantics with precise hardware exceptions for data-races
7,"Cars, Calls, and Cognition: Investigating Driving and Divided Attention
","Cars, calls, and cognition: investigating driving and divided attention"
8,"Negotiating with Angry Mastodons: The Wikipedia Policy Environment as Genre Ecology
",Negotiating with angry mastodons: the wikipedia policy environment as genre ecology
9,"A Robust Decision Tree Algorithm for Imbalanced Data Sets
",
10,"Automated Tracing of I/O Stack
",
11,"Navigating through Mashed-up Applications with
",CONFERENCE: Navigating Through Mashed-Up Applications with COMPASS
12,,Efﬁcient Common Items Extraction from Multiple Sorted Lists
13,,Generalized Task Markets for Human and Machine Computation
14,,Training and testing of recommender systems on data missing not at random
15,"High Durability in NAND Flash Memory through Effective Page Reuse Mechanisms
",High durability in NAND flash memory through effective page reuse mechanisms
16,"Web Search Using Mobile Cores: Quantifying and Mitigating the Price of Efﬁciency
",Web search using mobile cores: quantifying and mitigating the price of efficiency
17,"Run-time optimizations for replicated dataﬂows on heterogeneous environments
",Run-time optimizations for replicated dataflows on heterogeneous environments
18,"On Predictability of System Anomalies in Real World
",
19,"Service Learning in Introductory Computer Science
",Service learning in introductory computer science
20,"Challenges with Teaching HCI Early to Computer Students
",Challenges with teaching HCI early to computer students
21,"Compositional Analysis of Multi-Mode Systems
",Compositional Analysis of Multi-mode Systems
22,,Integrated instruction selection and register allocation for compact code generation exploiting freeform mixing of 16- and 32-bit instructions
23,"Photo Zoom: High Resolution from Unordered Image Collections
",Photo zoom: high resolution from unordered image collections
24,"
",Microsoft Word - MKTv0930v4
25,"How does Search Behavior Change as Search Becomes More Difficult?
",How does search behavior change as search becomes more difficult?
26,"Distributed Framework for Adaptive Explanatory Visualization
",doi:10.1016/j.entcs.2007.01.044
27,"Focus and Element Length for Book and Wikipedia Retrieval
",University of Amsterdam at INEX 2010: Ad hoc and Book Tracks
28,,Session Based Click Features for Recency Ranking
29,"A Framework for Opportunistic Routing in Multi-hop Wireless Networks
",A framework for opportunistic routing in multi-hop wireless networks
30,"Algorithms for Constrained Bulk-transfer of Delay-Tolerant Data
",Microsoft Word - FlowAlgos.doc
31,"Providing Scalable Data Services in Ubiquitous Networks
",
32,"An Exploratory Study of Fault-Proneness in Evolving Aspect-Oriented Programs
",An exploratory study of fault-proneness in evolving aspect-oriented programs
33,"Proﬁling Users in a 3G Network Using Hourglass Co-Clustering
",Profiling users in a 3g network using hourglass co-clustering
34,"Intentional Networking: Opportunistic Exploitation of Mobile Network Diversity
",Intentional networking: opportunistic exploitation of mobile network diversity
35,"ACM International Workshop on Social, Adaptive and Personalized Multimedia Interaction and Access (SAPMIA 2010)
","ACM international workshop on social, adaptive and personalized multimedia interaction and access (SAPMIA 2010)"
36,"TalkMiner: A Search Engine for Online Lecture Video
",TalkMiner: a search engine for online lecture video
37,"Understanding Transactional Memory Performance
",Understanding Transactional Memory Performance
38,"Centrifuge: Integrated Lease Management and Partitioning for Cloud Services
",
39,,Shoestring: probabilistic soft error reliability on the cheap
40,"Implementing and Evaluating a Model Checker for Transactional Memory Systems
",Implementing and Evaluating a Model Checker for Transactional Memory Systems
41,"Dissecting One Click Frauds
",Dissecting one click frauds
42,"An Empirical Study of Privacy-Violating Information Flows in JavaScript Web Applications
",An empirical study of privacy-violating information flows in JavaScript web applications
43,"Automatically Documenting Program Changes
",Automatically documenting program changes
44,"Program Comprehension as Fact Finding
",
45,"CoMiHoC : A Middleware Framework for Context Management in MANET Environment
",CoMiHoC: A Middleware Framework for Context Management in MANET Environment
46,"Adapting the tf idf Vector-Space Model to Domain Speciﬁc Information Retrieval
",Adapting the tf idf vector-space model to domain specific information retrieval
47,"XUIB: XML to User Interface Binding
",XUIB: XML to user interface binding
48,"Analysis of Graphs for Digital Preservation Suitability
",Analysis of graphs for digital preservation suitability
49,"Money, Glory and Cheap Talk: Analyzing Strategic Behavior of Contestants in Simultaneous Crowdsourcing Contests on TopCoder.com
","Money, glory and cheap talk: analyzing strategic behavior of contestants in simultaneous crowdsourcing contests on TopCoder.com"
50,"Equip Tourists with Knowledge Mined from Travelogues
",Equip tourists with knowledge mined from travelogues
